nummer wort sprecher anteil segtyp meanf0 slopef0 meanf1 meanf2 meanf3
012 Aluminium 1 0.92156862745 i 125.83333333 25.71428571 246.5313 1855.6217 2577.1087
027 Aluminium 1 0.56862745098 i 122.14285714 -17.85714286 219.9303 1770.2941 2669.3904
032 Aluminium 0 0.00000000000 i 113.80000000 .00000000 221.8449 2278.8518 2843.9664
087 Aluminium 1 0.94117647059 i 127.75000000 10.00000000 237.6483 1884.4285 2689.1778
092 Aluminium 1 0.43137254902 i 135.57142857 85.71428571 231.3250 1987.7067 2842.6924
102 Aluminium 0 0.01960784314 i 114.54545455 -30.90909091 226.3656 2515.5185 2928.8835
188 Aluminium 0 0.13725490196 i 126.20000000 70.00000000 235.1128 2485.4025 2859.6770
235 Aluminium 0 0.03921568627 i 122.00000000 -160.00000000 218.0018 2460.9072 3030.0974
099 anlehnen 1 0.82352941176 e 142.13333333 24.28571429 282.9295 1921.7347 2573.9219
127 anlehnen 1 0.94117647059 e 107.85714286 -94.94505495 242.4559 1904.4521 2504.2781
145 anlehnen 0 0.09803921569 e 92.80000000 -25.35714286 265.4539 1919.4448 2493.5549
150 anlehnen 1 0.39215686275 e 89.21428571 -33.62637363 254.8847 1857.0834 2554.1989
161 anlehnen 1 0.84313725490 e 93.92857143 -12.52747253 276.0368 1810.9067 2400.7075
162 anlehnen 0 0.01960784314 e 96.35714286 -63.07692308 276.5232 1932.1399 2425.6046
219 anlehnen 0 0.15686274510 e 87.92857143 -20.00000000 262.1656 1919.8313 2526.4289
222 anlehnen 0 0.19607843137 e 90.25000000 -56.29370629 255.8976 1866.1171 2484.8164
007 Annahme 0 0.01960784314 a 84.62500000 -8.52941176 754.9945 1123.0225 2904.3794
079 Annahme 1 0.92156862745 a 83.35294118 -65.93137255 671.0196 1162.5285 2514.6548
095 Annahme 1 0.80392156863 a 128.52941176 5.88235294 697.9219 1144.0206 2586.9548
109 Annahme 0 0.03921568627 a 91.70588235 -107.10784314 684.0044 1101.4650 2647.8709
122 Annahme 0 0.17647058824 a 91.14285714 -39.61038961 770.7968 1079.6434 2572.3378
136 Annahme 0 0.00000000000 a 83.89473684 -37.19298246 743.6194 1108.8109 2598.3124
157 Annahme 1 0.74509803922 a 93.68421053 -52.28070175 737.1219 1142.6177 2612.4376
177 Annahme 1 0.70588235294 a 89.00000000 -113.92857143 669.1015 1127.6898 2581.3266
004 anonym 1 0.76470588235 y 122.76923077 -166.48351648 232.8411 1727.5613 2065.5274
029 anonym 0 0.01960784314 y 104.41666667 -94.05594406 218.9497 1782.1091 2047.1122
048 anonym 0 0.05882352941 y 100.54545455 -163.63636364 230.0680 1712.7911 2009.2047
069 anonym 0 0.01960784314 y 99.23076923 -87.91208791 220.9195 1672.5672 1869.7676
077 anonym 0 0.09803921569 y 96.41666667 -145.10489510 227.5435 1693.4861 1950.7902
080 anonym 1 0.66666666667 y 133.85714286 216.23376623 239.5407 1695.2796 1966.7914
135 anonym 1 0.66666666667 y 112.93333333 -167.50000000 234.2196 1663.1424 1894.9579
146 anonym 1 0.62745098039 y 108.06250000 -173.38235294 226.4416 1719.2721 2015.4729
014 Lama 0 0.13725490196 a 96.28000000 -29.84615385 710.2724 1054.1428 2752.6889
019 Lama 0 0.01960784314 a 92.05555556 -173.47781218 757.2866 1048.7949 2624.9239
062 Lama 0 0.54901960784 a 98.50000000 103.51648352 748.7641 1071.8840 2533.4039
065 Lama 0 0.05882352941 a 90.61538462 -99.45054945 778.9604 1113.4621 2578.0848
067 Lama 1 0.74509803922 a 111.05263158 -26.49122807 702.3235 1091.9937 2652.9270
082 Lama 1 0.60784313725 a 110.75000000 -90.30075188 679.9943 1060.3104 2598.8645
107 Lama 1 0.90196078431 a 118.28571429 -27.69230769 707.1210 1082.3746 2545.0502
197 Lama 1 0.56862745098 a 98.15000000 -33.90977444 705.4784 1113.8461 2593.2201
018 Lilie 0 0.11764705882 i 110.64705882 -103.18627451 222.5378 1919.5447 2561.7262
058 Lilie 0 0.21568627451 i 121.93333333 -76.78571429 236.2992 1863.0765 2613.2000
105 Lilie 1 0.62745098039 i 121.00000000 -26.78571429 238.2363 1832.3661 2630.0090
110 Lilie 0 0.15686274510 i 113.84210526 -158.77192982 225.5727 1959.4241 2585.2547
178 Lilie 1 0.68627450980 i 125.28571429 -66.37362637 238.7154 1848.9489 2573.4298
216 Lilie 1 0.90196078431 i 140.00000000 -90.20979021 273.0304 1852.6564 2571.2682
218 Lilie 0 0.25490196078 i 114.33333333 -113.57142857 229.7451 1915.0580 2743.5993
223 Lilie 1 0.98039215686 i 149.83333333 -160.13986014 246.2484 1931.8685 2566.2955
041 Limone 1 0.29411764706 o 104.86666667 -133.21428571 275.9166 640.1421 2236.0469
073 Limone 1 0.76470588235 o 131.31578947 166.84210526 282.6888 630.2102 2275.3871
093 Limone 1 0.92156862745 o 114.38888889 -124.76780186 268.8263 667.5487 2245.0481
125 Limone 1 0.90196078431 o 111.33333333 -143.24045408 286.0605 798.8240 1973.5359
141 Limone 0 0.05882352941 o 91.35294118 -74.75490196 255.4310 584.9375 2130.2088
142 Limone 0 0.07843137255 o 97.78947368 -77.36842105 245.1638 636.6829 2237.2696
148 Limone 0 0.23529411765 o 105.28571429 -94.15584416 240.1227 622.4056 2301.1590
221 Limone 0 0.03921568627 o 90.77777778 -92.87925697 251.0375 604.8885 2385.8563
008 Lohn 1 0.58823529412 o 111.09523810 -165.97402597 311.3831 747.3479 2134.0228
010 Lohn 0 0.11764705882 o 100.52941176 -196.32352941 284.5531 661.6438 2256.3612
013 Lohn 1 0.78431372549 o 117.00000000 -133.82352941 282.4376 670.8246 2096.7411
015 Lohn 0 0.15686274510 o 96.47368421 -87.54385965 301.6772 692.5465 2260.5949
022 Lohn 0 0.01960784314 o 91.71428571 -134.06593407 300.1747 667.8899 2280.4954
052 Lohn 1 0.80392156863 o 122.29166667 -56.73913043 339.6800 720.0345 2246.7206
128 Lohn 0 0.01960784314 o 109.56250000 -10.44117647 291.1259 679.2993 2326.9665
168 Lohn 1 0.76470588235 o 123.84210526 156.66666667 316.3564 738.4428 2178.2304
078 Malmoe 0 0.15686274510 2 85.87500000 -31.76470588 284.2626 1552.0993 1905.3867
083 Malmoe 0 0.07843137255 2 81.83333333 -32.16783217 267.7822 1604.9771 2040.9544
116 Malmoe 1 0.84313725490 2 108.09523810 -95.19480519 262.3694 1580.6971 1990.6489
159 Malmoe 1 0.80392156863 2 92.50000000 -110.29411765 268.7913 1550.9777 1853.5753
176 Malmoe 0 0.03921568627 2 91.29411765 -56.61764706 258.7228 1550.0539 1968.4832
179 Malmoe 1 0.56862745098 2 136.52380952 -15.71428571 270.7680 1596.3925 1926.5234
